Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Foix;42.96;1.6;10/09/2026;5;SOLEIL VOILÉ;25;12.4
Foix;42.96;1.6;11/09/2026;0;SOLEIL;25.9;11.9
Foix;42.96;1.6;12/09/2026;0;SOLEIL;28.1;14.1
Foix;42.96;1.6;13/09/2026;0;SOLEIL;30.2;13.6
Foix;42.96;1.6;14/09/2026;0;SOLEIL;31.9;14.9
Carcassonne;43.21;2.35;10/09/2026;5;SOLEIL VOILÉ;22.6;9.2
Carcassonne;43.21;2.35;11/09/2026;0;SOLEIL;23.9;9.6
Carcassonne;43.21;2.35;12/09/2026;0;SOLEIL;25;11.2
Carcassonne;43.21;2.35;13/09/2026;0;SOLEIL;29.4;11.7
Carcassonne;43.21;2.35;14/09/2026;0;SOLEIL;30.7;13
Laguiole;44.68;2.85;10/09/2026;0;SOLEIL;24.9;13.6
Laguiole;44.68;2.85;11/09/2026;0;SOLEIL;26.9;13.4
Laguiole;44.68;2.85;12/09/2026;0;SOLEIL;28.5;14.7
Laguiole;44.68;2.85;13/09/2026;0;SOLEIL;31.6;12.6
Laguiole;44.68;2.85;14/09/2026;0;SOLEIL;33.4;14.4
Rodez;44.35;2.57;10/09/2026;0;SOLEIL;17.6;6.9
Rodez;44.35;2.57;11/09/2026;0;SOLEIL;20.1;8.5
Rodez;44.35;2.57;12/09/2026;0;SOLEIL;22.1;10.5
Rodez;44.35;2.57;13/09/2026;0;SOLEIL;24.2;11
Rodez;44.35;2.57;14/09/2026;0;SOLEIL;26.6;12.7
Saint-Affrique;43.96;2.88;10/09/2026;0;SOLEIL;22.5;5.1
Saint-Affrique;43.96;2.88;11/09/2026;0;SOLEIL;22.4;7.1
Saint-Affrique;43.96;2.88;12/09/2026;0;SOLEIL;24.6;9.2
Saint-Affrique;43.96;2.88;13/09/2026;0;SOLEIL;27;9.1
Saint-Affrique;43.96;2.88;14/09/2026;0;SOLEIL;29.1;9.9
Alès;44.12;4.08;10/09/2026;0;SOLEIL;26.1;9.9
Alès;44.12;4.08;11/09/2026;0;SOLEIL;26.9;7.9
Alès;44.12;4.08;12/09/2026;0;SOLEIL;28.6;9.2
Alès;44.12;4.08;13/09/2026;0;SOLEIL;30.6;10.1
Alès;44.12;4.08;14/09/2026;0;SOLEIL;32.2;11.5
Nîmes;43.83;4.36;10/09/2026;0;SOLEIL;28.6;15
Nîmes;43.83;4.36;11/09/2026;0;SOLEIL;31.1;15.4
Nîmes;43.83;4.36;12/09/2026;0;SOLEIL;32;16.7
Nîmes;43.83;4.36;13/09/2026;0;SOLEIL;31.1;12.1
Nîmes;43.83;4.36;14/09/2026;0;SOLEIL;33.2;13.9
Saint-Gaudens;43.1;0.72;10/09/2026;0;SOLEIL;27.7;16.5
Saint-Gaudens;43.1;0.72;11/09/2026;0;SOLEIL;30.4;15.2
Saint-Gaudens;43.1;0.72;12/09/2026;0;SOLEIL;30.9;17.5
Saint-Gaudens;43.1;0.72;13/09/2026;0;SOLEIL;31.4;16.1
Saint-Gaudens;43.1;0.72;14/09/2026;0;SOLEIL;33.1;17.6
Toulouse;43.6;1.44;10/09/2026;5;SOLEIL VOILÉ;23.2;9.4
Toulouse;43.6;1.44;11/09/2026;0;SOLEIL;23.9;8.9
Toulouse;43.6;1.44;12/09/2026;0;SOLEIL;25.9;11
Toulouse;43.6;1.44;13/09/2026;0;SOLEIL;29.1;10.1
Toulouse;43.6;1.44;14/09/2026;0;SOLEIL;30.6;10.6
Auch;43.64;0.58;10/09/2026;5;SOLEIL VOILÉ;24.7;9.6
Auch;43.64;0.58;11/09/2026;0;SOLEIL;25.9;9.7
Auch;43.64;0.58;12/09/2026;0;SOLEIL;27.9;11.1
Auch;43.64;0.58;13/09/2026;0;SOLEIL;31.1;12.5
Auch;43.64;0.58;14/09/2026;0;SOLEIL;32.6;13.1
Béziers;43.34;3.21;10/09/2026;0;SOLEIL;28;14.1
Béziers;43.34;3.21;11/09/2026;0;SOLEIL;28.5;12.4
Béziers;43.34;3.21;12/09/2026;0;SOLEIL;29.6;16.1
Béziers;43.34;3.21;13/09/2026;0;SOLEIL;30;13.1
Béziers;43.34;3.21;14/09/2026;0;SOLEIL;31.6;14.6
Montpellier;43.61;3.87;10/09/2026;0;SOLEIL;29.6;17
Montpellier;43.61;3.87;11/09/2026;0;SOLEIL;30.9;15.9
Montpellier;43.61;3.87;12/09/2026;0;SOLEIL;31.6;18.1
Montpellier;43.61;3.87;13/09/2026;0;SOLEIL;29.6;15
Montpellier;43.61;3.87;14/09/2026;0;SOLEIL;31.5;16.2
Cahors;44.44;1.44;10/09/2026;0;SOLEIL;26.1;7.7
Cahors;44.44;1.44;11/09/2026;0;SOLEIL;26.7;7
Cahors;44.44;1.44;12/09/2026;0;SOLEIL;28.4;9
Cahors;44.44;1.44;13/09/2026;0;SOLEIL;31.4;8.5
Cahors;44.44;1.44;14/09/2026;0;SOLEIL;33;10.1
Saint-Céré;44.86;1.89;10/09/2026;0;SOLEIL;25.4;8.1
Saint-Céré;44.86;1.89;11/09/2026;0;SOLEIL;26.6;7
Saint-Céré;44.86;1.89;12/09/2026;0;SOLEIL;28.1;8.7
Saint-Céré;44.86;1.89;13/09/2026;0;SOLEIL;29.9;9.2
Saint-Céré;44.86;1.89;14/09/2026;0;SOLEIL;31.4;10.2
Mende;44.51;3.5;10/09/2026;0;SOLEIL;22.9;8.1
Mende;44.51;3.5;11/09/2026;0;SOLEIL;24.4;5
Mende;44.51;3.5;12/09/2026;0;SOLEIL;26.6;6.2
Mende;44.51;3.5;13/09/2026;0;SOLEIL;28.6;7.6
Mende;44.51;3.5;14/09/2026;0;SOLEIL;30.4;9
Tarbes;43.23;0.07;10/09/2026;5;SOLEIL VOILÉ;23.4;10.6
Tarbes;43.23;0.07;11/09/2026;0;SOLEIL;23.6;10.6
Tarbes;43.23;0.07;12/09/2026;0;SOLEIL;25.6;12
Tarbes;43.23;0.07;13/09/2026;0;SOLEIL;28.6;12.6
Tarbes;43.23;0.07;14/09/2026;0;SOLEIL;30.1;14.1
Font-Romeu;42.5;2.04;10/09/2026;0;SOLEIL;19.5;5.1
Font-Romeu;42.5;2.04;11/09/2026;0;SOLEIL;19.4;7
Font-Romeu;42.5;2.04;12/09/2026;0;SOLEIL;19.2;6.4
Font-Romeu;42.5;2.04;13/09/2026;0;SOLEIL;22.2;4.5
Font-Romeu;42.5;2.04;14/09/2026;0;SOLEIL;23.9;5
Perpignan;42.69;2.89;10/09/2026;0;SOLEIL;27.2;17.2
Perpignan;42.69;2.89;11/09/2026;0;SOLEIL;28.6;15.5
Perpignan;42.69;2.89;12/09/2026;0;SOLEIL;29.5;18.9
Perpignan;42.69;2.89;13/09/2026;0;SOLEIL;28.2;17.2
Perpignan;42.69;2.89;14/09/2026;0;SOLEIL;29.6;19.5
Albi;43.92;2.14;10/09/2026;0;SOLEIL;26;11.4
Albi;43.92;2.14;11/09/2026;0;SOLEIL;27.6;10.9
Albi;43.92;2.14;12/09/2026;0;SOLEIL;29.1;12.1
Albi;43.92;2.14;13/09/2026;0;SOLEIL;30.5;13.1
Albi;43.92;2.14;14/09/2026;0;SOLEIL;32.1;14.1
Castres;43.6;2.24;10/09/2026;0;SOLEIL;25.4;10.7
Castres;43.6;2.24;11/09/2026;0;SOLEIL;26.2;11.2
Castres;43.6;2.24;12/09/2026;0;SOLEIL;28.1;12.6
Castres;43.6;2.24;13/09/2026;0;SOLEIL;30.9;15
Castres;43.6;2.24;14/09/2026;0;SOLEIL;32;16.7
Montauban;44.01;1.35;10/09/2026;5;SOLEIL VOILÉ;26.2;11.6
Montauban;44.01;1.35;11/09/2026;0;SOLEIL;26.2;11.1
Montauban;44.01;1.35;12/09/2026;0;SOLEIL;28.7;12.5
Montauban;44.01;1.35;13/09/2026;0;SOLEIL;31.1;12.6
Montauban;44.01;1.35;14/09/2026;0;SOLEIL;32;14.1
