Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Foix;42.96;1.6;08/08/2026;0;SOLEIL;38.1;21
Foix;42.96;1.6;09/08/2026;0;SOLEIL;36;22.6
Foix;42.96;1.6;10/08/2026;0;SOLEIL;32.4;20.9
Foix;42.96;1.6;11/08/2026;0;SOLEIL;37.7;22.4
Foix;42.96;1.6;12/08/2026;0;SOLEIL;38.1;22.7
Carcassonne;43.21;2.35;08/08/2026;0;SOLEIL;35.1;17
Carcassonne;43.21;2.35;09/08/2026;10;ORAGEUX;33.2;18.2
Carcassonne;43.21;2.35;10/08/2026;0;SOLEIL;31;18.2
Carcassonne;43.21;2.35;11/08/2026;0;SOLEIL;35.6;19.1
Carcassonne;43.21;2.35;12/08/2026;0;SOLEIL;35.1;20.1
Laguiole;44.68;2.85;08/08/2026;0;SOLEIL;38.1;19.5
Laguiole;44.68;2.85;09/08/2026;0;SOLEIL;35.4;23.1
Laguiole;44.68;2.85;10/08/2026;0;SOLEIL;33.7;21.7
Laguiole;44.68;2.85;11/08/2026;0;SOLEIL;36.7;22.1
Laguiole;44.68;2.85;12/08/2026;0;SOLEIL;37.7;22.4
Rodez;44.35;2.57;08/08/2026;0;SOLEIL;32.1;15.1
Rodez;44.35;2.57;09/08/2026;0;SOLEIL;29.6;19.4
Rodez;44.35;2.57;10/08/2026;10;ORAGEUX;28.2;18.4
Rodez;44.35;2.57;11/08/2026;0;SOLEIL;31.6;16.9
Rodez;44.35;2.57;12/08/2026;0;SOLEIL;32.5;18.1
Saint-Affrique;43.96;2.88;08/08/2026;0;SOLEIL;35.2;12.1
Saint-Affrique;43.96;2.88;09/08/2026;0;SOLEIL;32;19.7
Saint-Affrique;43.96;2.88;10/08/2026;10;ORAGEUX;30.4;17.1
Saint-Affrique;43.96;2.88;11/08/2026;0;SOLEIL;34.6;16.4
Saint-Affrique;43.96;2.88;12/08/2026;0;SOLEIL;35.1;17.7
Alès;44.12;4.08;08/08/2026;0;SOLEIL;38.9;15.9
Alès;44.12;4.08;09/08/2026;0;SOLEIL;34;20
Alès;44.12;4.08;10/08/2026;10;ORAGEUX;33.2;19
Alès;44.12;4.08;11/08/2026;0;SOLEIL;37.6;18.1
Alès;44.12;4.08;12/08/2026;0;SOLEIL;38.1;18.4
Nîmes;43.83;4.36;08/08/2026;0;SOLEIL;39.1;22.6
Nîmes;43.83;4.36;09/08/2026;0;SOLEIL;34.7;20.7
Nîmes;43.83;4.36;10/08/2026;0;SOLEIL;35.7;22.7
Nîmes;43.83;4.36;11/08/2026;0;SOLEIL;38;20.9
Nîmes;43.83;4.36;12/08/2026;0;SOLEIL;38.1;22.1
Saint-Gaudens;43.1;0.72;08/08/2026;0;SOLEIL;38.4;23.6
Saint-Gaudens;43.1;0.72;09/08/2026;0;SOLEIL;33.6;22.9
Saint-Gaudens;43.1;0.72;10/08/2026;0;SOLEIL;35.7;23.1
Saint-Gaudens;43.1;0.72;11/08/2026;0;SOLEIL;37.6;22.9
Saint-Gaudens;43.1;0.72;12/08/2026;0;SOLEIL;37.5;23.1
Toulouse;43.6;1.44;08/08/2026;0;SOLEIL;36;17.1
Toulouse;43.6;1.44;09/08/2026;0;SOLEIL;34;18.1
Toulouse;43.6;1.44;10/08/2026;0;SOLEIL;32.6;17.9
Toulouse;43.6;1.44;11/08/2026;0;SOLEIL;36.2;17.6
Toulouse;43.6;1.44;12/08/2026;0;SOLEIL;35.6;19.1
Auch;43.64;0.58;08/08/2026;0;SOLEIL;37.6;18.5
Auch;43.64;0.58;09/08/2026;0;SOLEIL;34.6;20.1
Auch;43.64;0.58;10/08/2026;0;SOLEIL;33.4;19.2
Auch;43.64;0.58;11/08/2026;0;SOLEIL;39.1;20.4
Auch;43.64;0.58;12/08/2026;0;SOLEIL;38.7;21.1
Béziers;43.34;3.21;08/08/2026;0;SOLEIL;34.5;20.1
Béziers;43.34;3.21;09/08/2026;0;SOLEIL;32.2;24.6
Béziers;43.34;3.21;10/08/2026;0;SOLEIL;33.4;23.6
Béziers;43.34;3.21;11/08/2026;0;SOLEIL;34.4;22.1
Béziers;43.34;3.21;12/08/2026;0;SOLEIL;35.5;21.7
Montpellier;43.61;3.87;08/08/2026;0;SOLEIL;36.6;24.4
