Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Paris;48.85;2.35;19/08/2026;00:00;22.4;0;SOLEIL;3;22.0;0
Paris;48.85;2.35;19/08/2026;01:00;21.7;0;SOLEIL;3;20.5;0
Paris;48.85;2.35;19/08/2026;02:00;22.1;2;NUAGEUX;4;19.8;0
Paris;48.85;2.35;19/08/2026;03:00;21.6;2;NUAGEUX;3;18.4;0
Paris;48.85;2.35;19/08/2026;04:00;21.1;2;NUAGEUX;3;19.1;0
Paris;48.85;2.35;19/08/2026;05:00;20.9;0;SOLEIL;3;19.1;0
Paris;48.85;2.35;19/08/2026;06:00;20.6;2;NUAGEUX;3;16.8;0
Paris;48.85;2.35;19/08/2026;07:00;20.5;2;NUAGEUX;3;17.1;0
Paris;48.85;2.35;19/08/2026;08:00;21.7;2;NUAGEUX;3;16.9;0
Paris;48.85;2.35;19/08/2026;09:00;22;2;NUAGEUX;3;19.8;0
Paris;48.85;2.35;19/08/2026;10:00;21.7;2;NUAGEUX;3;19.8;0
Paris;48.85;2.35;19/08/2026;11:00;21.5;2;NUAGEUX;4;20.5;0
Paris;48.85;2.35;19/08/2026;12:00;23.4;2;NUAGEUX;3;22.0;0
Paris;48.85;2.35;19/08/2026;13:00;24;2;NUAGEUX;4;23.8;0
Paris;48.85;2.35;19/08/2026;14:00;24.7;2;NUAGEUX;4;24.1;0
Paris;48.85;2.35;19/08/2026;15:00;25.1;2;NUAGEUX;4;26.6;0
Paris;48.85;2.35;19/08/2026;16:00;24.7;6;AVERSES;4;29.5;0.2
Paris;48.85;2.35;19/08/2026;17:00;24;6;AVERSES;4;28.8;0.4
Paris;48.85;2.35;19/08/2026;18:00;22.7;6;AVERSES;3;28.8;0.4
Paris;48.85;2.35;19/08/2026;19:00;21.5;6;AVERSES;4;30.6;0.4
Paris;48.85;2.35;19/08/2026;20:00;20.6;6;AVERSES;3;24.5;0.4
Paris;48.85;2.35;19/08/2026;21:00;20.1;6;AVERSES;3;20.9;0.2
Paris;48.85;2.35;19/08/2026;22:00;19.6;0;SOLEIL;3;13.3;0
Paris;48.85;2.35;19/08/2026;23:00;19.1;0;SOLEIL;3;11.9;0
Paris;48.85;2.35;20/08/2026;00:00;18.7;0;SOLEIL;3;10.1;0
Paris;48.85;2.35;20/08/2026;01:00;18.7;0;SOLEIL;3;9.0;0
Paris;48.85;2.35;20/08/2026;02:00;18.6;0;SOLEIL;3;9.4;0
Paris;48.85;2.35;20/08/2026;03:00;18.6;0;SOLEIL;3;9.4;0
Paris;48.85;2.35;20/08/2026;04:00;18.6;0;SOLEIL;3;8.6;0
Paris;48.85;2.35;20/08/2026;05:00;18;0;SOLEIL;3;7.9;0
Paris;48.85;2.35;20/08/2026;06:00;18;0;SOLEIL;3;7.6;0
Paris;48.85;2.35;20/08/2026;07:00;18;0;SOLEIL;3;7.9;0
Paris;48.85;2.35;20/08/2026;08:00;19.7;0;SOLEIL;4;7.2;0
Paris;48.85;2.35;20/08/2026;09:00;19.7;0;SOLEIL;4;9.0;0
Paris;48.85;2.35;20/08/2026;10:00;19.7;0;SOLEIL;4;11.9;0
Paris;48.85;2.35;20/08/2026;11:00;22.5;0;SOLEIL;5;15.5;0
Paris;48.85;2.35;20/08/2026;12:00;22.5;0;SOLEIL;5;20.9;0
Paris;48.85;2.35;20/08/2026;13:00;22.5;0;SOLEIL;5;27.4;0
Paris;48.85;2.35;20/08/2026;14:00;24.2;2;NUAGEUX;5;32.4;0
Paris;48.85;2.35;20/08/2026;15:00;24.2;2;NUAGEUX;5;34.6;0
Paris;48.85;2.35;20/08/2026;16:00;24.2;2;NUAGEUX;5;35.3;0
Paris;48.85;2.35;20/08/2026;17:00;22.1;0;SOLEIL;3;34.9;0
Paris;48.85;2.35;20/08/2026;18:00;22.1;0;SOLEIL;3;33.1;0
Paris;48.85;2.35;20/08/2026;19:00;22.1;0;SOLEIL;3;29.9;0
Paris;48.85;2.35;20/08/2026;20:00;21;0;SOLEIL;2;27.0;0
Paris;48.85;2.35;20/08/2026;21:00;21;0;SOLEIL;2;24.5;0
Paris;48.85;2.35;20/08/2026;22:00;21;0;SOLEIL;2;22.0;0
Paris;48.85;2.35;20/08/2026;23:00;19.2;0;SOLEIL;3;19.1;0
Paris;48.85;2.35;21/08/2026;00:00;19.2;0;SOLEIL;3;14.4;0
Paris;48.85;2.35;21/08/2026;01:00;19.2;0;SOLEIL;3;9.4;0
Paris;48.85;2.35;21/08/2026;02:00;18.2;0;SOLEIL;1;5.8;0
Paris;48.85;2.35;21/08/2026;03:00;18.2;0;SOLEIL;1;4.3;0
Paris;48.85;2.35;21/08/2026;04:00;18.2;0;SOLEIL;1;4.7;0
Paris;48.85;2.35;21/08/2026;05:00;17.9;0;SOLEIL;2;5.4;0
Paris;48.85;2.35;21/08/2026;06:00;17.9;0;SOLEIL;2;6.5;0
Paris;48.85;2.35;21/08/2026;07:00;17.9;0;SOLEIL;2;7.9;0
Paris;48.85;2.35;21/08/2026;08:00;20.5;0;SOLEIL;3;10.1;0
Paris;48.85;2.35;21/08/2026;09:00;20.5;0;SOLEIL;3;13.0;0
Paris;48.85;2.35;21/08/2026;10:00;20.5;0;SOLEIL;3;16.6;0
Paris;48.85;2.35;21/08/2026;11:00;23.1;0;SOLEIL;3;19.1;0
Paris;48.85;2.35;21/08/2026;12:00;23.1;0;SOLEIL;3;19.4;0
Paris;48.85;2.35;21/08/2026;13:00;23.1;0;SOLEIL;3;18.7;0
Paris;48.85;2.35;21/08/2026;14:00;23.9;0;SOLEIL;3;19.1;0
Paris;48.85;2.35;21/08/2026;15:00;23.9;0;SOLEIL;3;21.2;0
Paris;48.85;2.35;21/08/2026;16:00;23.9;0;SOLEIL;3;24.5;0
Paris;48.85;2.35;21/08/2026;17:00;22.2;0;SOLEIL;1;27.0;0
Paris;48.85;2.35;21/08/2026;18:00;22.2;0;SOLEIL;1;28.8;0
Paris;48.85;2.35;21/08/2026;19:00;22.2;0;SOLEIL;1;30.2;0
Paris;48.85;2.35;21/08/2026;20:00;20.4;0;SOLEIL;5;29.2;0
Paris;48.85;2.35;21/08/2026;21:00;19.6;0;SOLEIL;5;24.5;0
Paris;48.85;2.35;21/08/2026;22:00;18.8;0;SOLEIL;5;17.6;0
Paris;48.85;2.35;21/08/2026;23:00;17.6;0;SOLEIL;2;11.9;0
Paris;48.85;2.35;22/08/2026;00:00;17.6;0;SOLEIL;2;8.2;0
Paris;48.85;2.35;22/08/2026;01:00;17.6;0;SOLEIL;2;5.2;0
Paris;48.85;2.35;22/08/2026;02:00;15.2;6;AVERSES;5;3.2;0
Paris;48.85;2.35;22/08/2026;03:00;15.2;6;AVERSES;5;3.6;0
Paris;48.85;2.35;22/08/2026;04:00;15.2;6;AVERSES;5;5.8;0
Paris;48.85;2.35;22/08/2026;05:00;15.9;0;SOLEIL;2;7.2;0
Paris;48.85;2.35;22/08/2026;06:00;15.9;0;SOLEIL;2;7.2;0
Paris;48.85;2.35;22/08/2026;07:00;15.9;0;SOLEIL;2;6.5;0
Paris;48.85;2.35;22/08/2026;08:00;16.8;6;AVERSES;5;6.8;0
Paris;48.85;2.35;22/08/2026;09:00;17.6;6;AVERSES;5;9.0;0
Paris;48.85;2.35;22/08/2026;10:00;18.4;6;AVERSES;5;11.9;0
Paris;48.85;2.35;22/08/2026;11:00;21.6;6;AVERSES;3;13.7;0
Paris;48.85;2.35;22/08/2026;12:00;21.6;6;AVERSES;3;13.7;0
Paris;48.85;2.35;22/08/2026;13:00;21.6;6;AVERSES;3;13.0;0
Paris;48.85;2.35;22/08/2026;14:00;21.7;6;AVERSES;5;12.2;0
Paris;48.85;2.35;22/08/2026;15:00;22.5;6;AVERSES;5;12.2;0
Paris;48.85;2.35;22/08/2026;16:00;21.7;6;AVERSES;5;12.2;0
Paris;48.85;2.35;22/08/2026;17:00;20.5;6;AVERSES;3;12.2;0
Paris;48.85;2.35;22/08/2026;18:00;20.5;6;AVERSES;3;11.5;0
Paris;48.85;2.35;22/08/2026;19:00;20.5;6;AVERSES;3;10.4;0
Paris;48.85;2.35;22/08/2026;20:00;18.4;6;AVERSES;5;10.1;0
Paris;48.85;2.35;22/08/2026;21:00;17.6;6;AVERSES;5;11.2;0
Paris;48.85;2.35;22/08/2026;22:00;16.8;6;AVERSES;5;13.0;0
Paris;48.85;2.35;22/08/2026;23:00;17.4;0;SOLEIL;3;15.5;0
Paris;48.85;2.35;23/08/2026;00:00;17.4;0;SOLEIL;3;19.1;0
Paris;48.85;2.35;23/08/2026;01:00;17.4;0;SOLEIL;3;23.0;0
Paris;48.85;2.35;23/08/2026;02:00;14.9;2;NUAGEUX;5;26.6;0
Paris;48.85;2.35;23/08/2026;03:00;14.9;2;NUAGEUX;5;29.2;0
Paris;48.85;2.35;23/08/2026;04:00;14.9;2;NUAGEUX;5;31.0;0
Paris;48.85;2.35;23/08/2026;05:00;15.5;0;SOLEIL;3;31.3;0
Paris;48.85;2.35;23/08/2026;06:00;15.5;0;SOLEIL;3;29.5;0
Paris;48.85;2.35;23/08/2026;07:00;15.5;0;SOLEIL;3;25.9;0
Paris;48.85;2.35;23/08/2026;08:00;16.6;2;NUAGEUX;5;23.0;0
Paris;48.85;2.35;23/08/2026;09:00;17.4;2;NUAGEUX;5;21.2;0
Paris;48.85;2.35;23/08/2026;10:00;18.2;2;NUAGEUX;5;19.8;0
Paris;48.85;2.35;23/08/2026;11:00;21.1;2;NUAGEUX;4;18.0;0
Paris;48.85;2.35;23/08/2026;12:00;21.1;2;NUAGEUX;4;14.4;0
Paris;48.85;2.35;23/08/2026;13:00;21.1;2;NUAGEUX;4;10.8;0
Paris;48.85;2.35;23/08/2026;14:00;21.6;2;NUAGEUX;5;9.7;0
Paris;48.85;2.35;23/08/2026;15:00;22.4;2;NUAGEUX;5;14.0;0
Paris;48.85;2.35;23/08/2026;16:00;21.6;2;NUAGEUX;5;20.9;0
Paris;48.85;2.35;23/08/2026;17:00;21.5;2;NUAGEUX;4;26.6;0
Paris;48.85;2.35;23/08/2026;18:00;21.5;2;NUAGEUX;4;29.5;0
Paris;48.85;2.35;23/08/2026;19:00;21.5;2;NUAGEUX;4;30.6;0
Paris;48.85;2.35;23/08/2026;20:00;18.2;2;NUAGEUX;5;31.0;0
Paris;48.85;2.35;23/08/2026;21:00;17.4;2;NUAGEUX;5;29.9;0
Paris;48.85;2.35;23/08/2026;22:00;16.6;2;NUAGEUX;5;27.7;0
Paris;48.85;2.35;23/08/2026;23:00;17.6;0;SOLEIL;4;25.9;0
Chelles;48.88;2.59;19/08/2026;00:00;21.9;2;NUAGEUX;3;24.8;0
Chelles;48.88;2.59;19/08/2026;01:00;21.4;2;NUAGEUX;3;16.9;0
Chelles;48.88;2.59;19/08/2026;02:00;21.1;2;NUAGEUX;3;20.2;0
Chelles;48.88;2.59;19/08/2026;03:00;21.4;2;NUAGEUX;3;18.4;0
Chelles;48.88;2.59;19/08/2026;04:00;20.6;2;NUAGEUX;3;20.5;0
