Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Ajaccio;41.92;8.73;07/08/2026;0;SOLEIL;35.5;24.7
Ajaccio;41.92;8.73;08/08/2026;0;SOLEIL;32.6;21.7
Ajaccio;41.92;8.73;09/08/2026;0;SOLEIL;33.6;22
Ajaccio;41.92;8.73;10/08/2026;0;SOLEIL;33.9;23.5
Ajaccio;41.92;8.73;11/08/2026;0;SOLEIL;33.1;22.9
Figari;41.48;9.09;07/08/2026;0;SOLEIL;34.7;22.6
Figari;41.48;9.09;08/08/2026;0;SOLEIL;33.9;20.2
Figari;41.48;9.09;09/08/2026;0;SOLEIL;36;20.2
Figari;41.48;9.09;10/08/2026;0;SOLEIL;37.4;19.6
Figari;41.48;9.09;11/08/2026;0;SOLEIL;36.2;20
Porto-Vecchio;41.59;9.27;07/08/2026;0;SOLEIL;41.1;22.2
Porto-Vecchio;41.59;9.27;08/08/2026;0;SOLEIL;36.4;21.6
Porto-Vecchio;41.59;9.27;09/08/2026;0;SOLEIL;34.4;23.1
Porto-Vecchio;41.59;9.27;10/08/2026;0;SOLEIL;37.2;21.6
Porto-Vecchio;41.59;9.27;11/08/2026;0;SOLEIL;36.6;21.5
Sartène;41.62;8.97;07/08/2026;0;SOLEIL;35.1;21.1
Sartène;41.62;8.97;08/08/2026;0;SOLEIL;34.4;21.5
Sartène;41.62;8.97;09/08/2026;0;SOLEIL;35;22.6
Sartène;41.62;8.97;10/08/2026;0;SOLEIL;35.7;24.6
Sartène;41.62;8.97;11/08/2026;0;SOLEIL;34.7;24
Zévaco;41.89;9.05;07/08/2026;0;SOLEIL;33.6;22.6
Zévaco;41.89;9.05;08/08/2026;0;SOLEIL;32.4;20.5
Zévaco;41.89;9.05;09/08/2026;0;SOLEIL;33;21.7
Zévaco;41.89;9.05;10/08/2026;0;SOLEIL;33.9;22.6
Zévaco;41.89;9.05;11/08/2026;0;SOLEIL;33.1;22.6
Bastia;42.69;9.45;07/08/2026;0;SOLEIL;33.6;26.5
Bastia;42.69;9.45;08/08/2026;0;SOLEIL;33.6;27.4
Bastia;42.69;9.45;09/08/2026;0;SOLEIL;34.4;24.4
Bastia;42.69;9.45;10/08/2026;0;SOLEIL;32.9;25.2
Bastia;42.69;9.45;11/08/2026;0;SOLEIL;32.9;25.5
Calvi;42.56;8.75;07/08/2026;0;SOLEIL;33.6;26.6
Calvi;42.56;8.75;08/08/2026;0;SOLEIL;31.6;24.6
Calvi;42.56;8.75;09/08/2026;0;SOLEIL;30.7;22
Calvi;42.56;8.75;10/08/2026;0;SOLEIL;32.2;23.5
Calvi;42.56;8.75;11/08/2026;0;SOLEIL;32.7;23.9
Cervione;42.33;9.49;07/08/2026;0;SOLEIL;33;22.1
Cervione;42.33;9.49;08/08/2026;0;SOLEIL;30.7;20.6
Cervione;42.33;9.49;09/08/2026;0;SOLEIL;31.7;23.6
Cervione;42.33;9.49;10/08/2026;0;SOLEIL;32.1;22.7
Cervione;42.33;9.49;11/08/2026;0;SOLEIL;32;22.7
Corte;42.3;9.15;07/08/2026;0;SOLEIL;35.9;17.9
Corte;42.3;9.15;08/08/2026;0;SOLEIL;34.4;18.1
Corte;42.3;9.15;09/08/2026;0;SOLEIL;34.6;17.1
Corte;42.3;9.15;10/08/2026;6;AVERSES;35;19.6
Corte;42.3;9.15;11/08/2026;6;AVERSES;34.1;19.1
Pietralba;42.54;9.18;07/08/2026;0;SOLEIL;32.5;20.6
Pietralba;42.54;9.18;08/08/2026;0;SOLEIL;30.6;20.5
Pietralba;42.54;9.18;09/08/2026;0;SOLEIL;31.7;20.9
Pietralba;42.54;9.18;10/08/2026;6;AVERSES;31.6;21.6
Pietralba;42.54;9.18;11/08/2026;6;AVERSES;31.5;21.9
Prunelli-di-Fiumorbo;42.01;9.32;07/08/2026;0;SOLEIL;31.5;19.9
Prunelli-di-Fiumorbo;42.01;9.32;08/08/2026;0;SOLEIL;31.5;20.6
Prunelli-di-Fiumorbo;42.01;9.32;09/08/2026;0;SOLEIL;32;20.7
Prunelli-di-Fiumorbo;42.01;9.32;10/08/2026;0;SOLEIL;32.4;22.1
Prunelli-di-Fiumorbo;42.01;9.32;11/08/2026;6;AVERSES;31.9;22
Rogliano;42.95;9.41;07/08/2026;0;SOLEIL;33.2;22.9
Rogliano;42.95;9.41;08/08/2026;0;SOLEIL;32.1;22.9
Rogliano;42.95;9.41;09/08/2026;0;SOLEIL;31.9;23
Rogliano;42.95;9.41;10/08/2026;0;SOLEIL;33;25.5
Rogliano;42.95;9.41;11/08/2026;0;SOLEIL;32.1;25.7
Vico;42.16;8.8;07/08/2026;0;SOLEIL;32.6;19.2
Vico;42.16;8.8;08/08/2026;0;SOLEIL;32.7;15.1
Vico;42.16;8.8;09/08/2026;0;SOLEIL;33.9;17.6
Vico;42.16;8.8;10/08/2026;0;SOLEIL;34.1;17.1
Vico;42.16;8.8;11/08/2026;0;SOLEIL;33.6;16.5
